{}
Account Number	Account Name	Header	Balance	Account Type	Last Cheque Number	Tax Code	Inactive Account	AccountantLink Code	BSB Number	B/Account Number	B/Account Name	Company Trading Name	Create Bank Files	Bank Code	Direct Entry User ID	Self Balancing Transaction	Description	Classification for Statement of Cash Flow	Subtotal Header Accounts
60330	Backpay		$0.00	Expense		N-T	N						N			N	Derived from QuickBooks account Backpay (Backpay expense (not yet paid)), of type Expense, with cash flow classification None		
60340	Fringe Benefit Tax		$0.00	Expense		N-T	N						N			N	Derived from QuickBooks account Fringe Benefit Tax , of type Expense, with cash flow classification None		
60350	Staff		$5,816,287.08	Expense		N-T	N						N			N	Derived from QuickBooks account Staff , of type Expense, with cash flow classification None		
60360	Staff - Outsource		$0.00	Expense		N-T	N						N			N	Derived from QuickBooks account Staff - Outsource , of type Expense, with cash flow classification None		
60370	Superannuation		$534,529.89	Expense		N-T	N						N			N	Derived from QuickBooks account Superannuation , of type Expense, with cash flow classification None		
60380	Cost Recovery	H	($23,874.98)	Expense			N						N			N	Derived from QuickBooks account Cost Recovery , of type Expense, with cash flow classification None		Y
60400	Cost Recovery- Staff Training		$0.00	Expense		GST	N						N			N	Derived from QuickBooks account Cost Recovery- Staff Training , of type Expense, with cash flow classification None		
60410	Cost Recovery - Other		($23,874.98)	Expense		N-T	N						N			N	Derived from QuickBooks account Cost Recovery - Other , of type Expense, with cash flow classification None		
60420	Cost Recovery - WorkCover		$0.00	Expense		N-T	N						N			N	Derived from QuickBooks account Cost Recovery - WorkCover , of type Expense, with cash flow classification None		
60430	Salary Overheads	H	$135,881.26	Expense			N						N			N	Derived from QuickBooks account Salary Overheads , of type Expense, with cash flow classification None		Y
60440	Salary Overheads		$0.00	Expense		N-T	Y						N			N	Derived from QuickBooks account Salary Overheads , of type Expense, with cash flow classification None		
60450	Annual Leave		($31,801.71)	Expense		N-T	N						N			N	Derived from QuickBooks account Annual Leave , of type Expense, with cash flow classification None		
60460	Long Service Leave		$62,540.00	Expense		N-T	N						N			N	Derived from QuickBooks account Long Service Leave , of type Expense, with cash flow classification None		
60470	Occupational Health & Safety		$2,081.97	Expense		GST	N						N			N	Derived from QuickBooks account Occupational Health & Safety , of type Expense, with cash flow classification None		
60490	Recruitment Cost	H	$2,662.00	Expense			N						N			N	Derived from QuickBooks account Recruitment Cost , of type Expense, with cash flow classification None		N
60500	Recruitment Cost-Other		$0.00	Expense		N-T	N						N			N	Derived from QuickBooks account Recruitment Cost , of type Expense, with cash flow classification None		
60510	Recruitment Cost-Advertising		$2,662.00	Expense		GST	N						N			N	Derived from QuickBooks account Advertising , of type Expense, with cash flow classification None		
60540	Workers' Compensation	H	$100,399.00	Expense			N						N			N	Derived from QuickBooks account Workers' Compensation , of type Expense, with cash flow classification None		N
60560	Medical Expenses		$769.51	Expense		FRE	N						N			N	Derived from QuickBooks account Medical Expenses , of type Expense, with cash flow classification None		
60570	Premiums		$99,629.49	Expense		GST	N						N			N	Derived from QuickBooks account Premiums , of type Expense, with cash flow classification None		
60590	Staff Related Costs	H	$82,858.59	Expense			N												Y
60600	Staff Related Costs		$0.00	Expense		N-T	Y						N			N	Derived from QuickBooks account Staff Related Costs , of type Expense, with cash flow classification None		
60610	Industrial Consultancy		$0.00	Expense		GST	N						N			N	Derived from QuickBooks account Industrial Consultancy , of type Expense, with cash flow classification None		
60620	Staff Related Costs-Other		$6,261.67	Expense		N-T	N						N			N	Derived from QuickBooks account Other , of type Expense, with cash flow classification None		
60630	Payroll Cost		$0.00	Expense		GST	N						N			N	Derived from QuickBooks account Payroll Cost , of type Expense, with cash flow classification None		
60640	Staff Amenities		$47,811.84	Expense		GST	N						N			N	Derived from QuickBooks account Staff Amenities , of type Expense, with cash flow classification None		
60650	Staff Training		$28,785.08	Expense		GST	N						N			N	Derived from QuickBooks account Staff Training , of type Expense, with cash flow classification None		
60690	Fleet Operating Expenses	H	$172,744.99	Expense			N						N			N	Derived from QuickBooks account Fleet Operating Expenses , of type Expense, with cash flow classification None		N
60730	Cleaning		$917.87	Expense		GST	N						N			N	Derived from QuickBooks account Cleaning (Cleaning & Washing), of type Expense, with cash flow classification None		
60740	Depreciation		$44,518.54	Expense		GST	N						N			N	Derived from QuickBooks account Depreciation , of type Expense, with cash flow classification None		
60750	Fuel & Oil		$61,579.03	Expense		GST	N						N			N	Derived from QuickBooks account Fuel & Oil , of type Expense, with cash flow classification None		
60760	Fleet-Insurance		$16,665.97	Expense		GST	N						N			N	Derived from QuickBooks account Insurance , of type Expense, with cash flow classification None		
60780	Fleet-Other		$3,911.68	Expense		GST	N						N			N	Derived from QuickBooks account Other (Includes Driver Maintenance Supplies), of type Expense, with cash flow classification None		
60790	Registration		$9,161.14	Expense		GST	N						N			N	Derived from QuickBooks account Registration , of type Expense, with cash flow classification None		
60800	Fleet-Repairs & Maintenance		$20,710.68	Expense		GST	N						N			N	Derived from QuickBooks account Repairs & Maintenance , of type Expense, with cash flow classification None		
60820	Tyres & Batteries		$7,096.86	Expense		GST	N						N			N	Derived from QuickBooks account Tyres & Batteries , of type Expense, with cash flow classification None		
60830	Transport	H	$8,183.22	Expense			N						N			N	Derived from QuickBooks account Transport , of type Expense, with cash flow classification None		N
60840	Transport		$0.00	Expense		GST	Y						N			N	Derived from QuickBooks account Transport , of type Expense, with cash flow classification None		
60860	Rail Fares		$196.36	Expense		GST	N						N			N	Derived from QuickBooks account Rail Fares , of type Expense, with cash flow classification None		
60870	Taxi Fares		$7,986.86	Expense		GST	N						N			N	Derived from QuickBooks account Taxi Fares , of type Expense, with cash flow classification None		
60890	Utilities	H	$59,894.74	Expense			N						N			N	Derived from QuickBooks account Utilities , of type Expense, with cash flow classification None		N
60900	Utilities		$0.00	Expense		N-T	Y						N			N	Derived from QuickBooks account Utilities , of type Expense, with cash flow classification None		
60910	Electricity & Gas		$42,969.81	Expense		GST	N						N			N	Derived from QuickBooks account Electricity & Gas , of type Expense, with cash flow classification None		
60920	Rates		$1,799.92	Expense		FRE	N						N			N	Derived from QuickBooks account Rates , of type Expense, with cash flow classification None		
60930	Water		$15,125.01	Expense		FRE	N						N			N	Derived from QuickBooks account Water , of type Expense, with cash flow classification None		
80000	Other Income	H	$121,934.08	Other Income			N												Y
80020	Araluen Foundation Grants		$0.00	Other Income		FRE	N						N			N	Derived from QuickBooks account Araluen Foundation Grants , of type OtherIncome, with cash flow classification None		
80025	Donations and Grants		$36,585.69	Other Income		FRE	N						N			N	Derived from QuickBooks account Donations and Grants , of type OtherIncome, with cash flow classification None		
80035	Fundraising		$556.53	Other Income		FRE	N						N			N	Derived from QuickBooks account Fundraising , of type OtherIncome, with cash flow classification None		
80060	Advance Grants		$0.00	Other Income		FRE	Y						N			N	Derived from QuickBooks account Advance Grants , of type OtherIncome, with cash flow classification None		
80100	Grants Expended		$0.00	Other Income		N-T	Y						N			N	Derived from QuickBooks account Grants Expended , of type OtherIncome, with cash flow classification None		
80120	Investment Income	H	$28,744.50	Other Income			N						N			N	Derived from QuickBooks account Investment Income , of type OtherIncome, with cash flow classification None		N
80160	Interest	H	$28,744.50	Other Income			N						N			N	Derived from QuickBooks account Interest , of type OtherIncome, with cash flow classification None		N
80180	Interest		$0.00	Other Income		N-T	Y						N			N	Derived from QuickBooks account Interest , of type OtherIncome, with cash flow classification None		
80200	Cash Deposit Account		$0.00	Other Income		INP	Y						N			N	Derived from QuickBooks account Cash Deposit Account , of type OtherIncome, with cash flow classification None		
80220	Cheque Account		$13,503.50	Other Income		INP	N						N			N	Derived from QuickBooks account Cheque Account , of type OtherIncome, with cash flow classification None		
80240	Term Deposit		$15,241.00	Other Income		INP	N						N			N	Derived from QuickBooks account Term Deposit (Term Deposit), of type OtherIncome, with cash flow classification None		
80280	Sundry Income	H	$56,047.36	Other Income			N						N			N	Derived from QuickBooks account Sundry Income , of type OtherIncome, with cash flow classification None		N
80300	Sundry Income		$0.00	Other Income		N-T	Y						N			N	Derived from QuickBooks account Sundry Income , of type OtherIncome, with cash flow classification None		
80310	Membership Fees		$198.20	Other Income		FRE	N						N			N	Derived from QuickBooks account Membership Fees , of type OtherIncome, with cash flow classification None		
80320	Community Bus Service		$16,363.66	Other Income		GST	N						N			N	Derived from QuickBooks account Community Bus Service , of type OtherIncome, with cash flow classification None		
80340	Sundry Income-Other		$2,187.05	Other Income		FRE	N						N			N	Derived from QuickBooks account Other Sundry Income , of type OtherIncome, with cash flow classification None		
80380	Sale of Assets		$37,298.45	Other Income		FRE	N						N			N	Derived from QuickBooks account Sale of Assets , of type OtherIncome, with cash flow classification None		
90000	Other Expenses	H	$505,738.21	Other Expense			N												Y
90020	Administration Expenses	H	$505,738.21	Other Expense			N						N			N	Derived from QuickBooks account Administration Expenses , of type OtherExpense, with cash flow classification None		Y
90040	Administration Expenses		$0.00	Other Expense		N-T	Y						N			N	Derived from QuickBooks account Administration Expenses , of type OtherExpense, with cash flow classification None		
90060	Accreditation		$12,950.64	Other Expense		GST	N						N			N	Derived from QuickBooks account Accreditation , of type OtherExpense, with cash flow classification None		
90080	Affiliations & Subscriptions		$3,391.51	Other Expense		GST	N						N			N	Derived from QuickBooks account Affiliations & Subscriptions , of type OtherExpense, with cash flow classification None		
90100	Auditor		$1,000.00	Other Expense		GST	N						N			N	Derived from QuickBooks account Auditor , of type OtherExpense, with cash flow classification None		
90120	Bad Debt write off		$0.00	Other Expense		FRE	N						N			N	Derived from QuickBooks account Bad Debt write off , of type OtherExpense, with cash flow classification None		
90140	Bank Charges		$2,598.05	Other Expense		INP	N						N			N	Derived from QuickBooks account Bank Charges , of type OtherExpense, with cash flow classification None		
90160	Board Expenses		$3,473.57	Other Expense		GST	N						N			N	Derived from QuickBooks account Board Expenses , of type OtherExpense, with cash flow classification None		
90180	Compliance		$0.00	Other Expense		FRE	N						N			N	Derived from QuickBooks account Compliance , of type OtherExpense, with cash flow classification None		
90200	Consultants Fees		$56,669.95	Other Expense		GST	N						N			N	Derived from QuickBooks account Consultants Fees , of type OtherExpense, with cash flow classification None		
90220	Depreciation		$158,680.73	Other Expense		N-T	N						N			N	Derived from QuickBooks account Depreciation , of type OtherExpense, with cash flow classification None		
90240	Fundraising Expenses		$0.00	Other Expense		GST	N						N			N	Derived from QuickBooks account Fundraising Expenses , of type OtherExpense, with cash flow classification None		
90260	Interest Charges		$0.00	Other Expense		INP	N						N			N	Derived from QuickBooks account Interest Charges , of type OtherExpense, with cash flow classification None		
90300	Legal Expenses		$10,325.45	Other Expense		GST	N						N			N	Derived from QuickBooks account Legal Expenses , of type OtherExpense, with cash flow classification None		
90320	Management Expenses		$4,380.04	Other Expense		GST	N						N			N	Derived from QuickBooks account Management Expenses , of type OtherExpense, with cash flow classification None		
90340	Office Supplies		$25,329.06	Other Expense		GST	N						N			N	Derived from QuickBooks account Office Supplies , of type OtherExpense, with cash flow classification None		
90360	Seminars		$0.00	Other Expense		GST	N						N			N	Derived from QuickBooks account Seminars (Industry Seminars & Forums), of type OtherExpense, with cash flow classification None		
90380	Travel & Accomodation		$16,712.57	Other Expense		GST	N						N			N	Derived from QuickBooks account Travel & Accomodation , of type OtherExpense, with cash flow classification None		
90400	Communications	H	$64,363.62	Other Expense			N						N			N	Derived from QuickBooks account Communications , of type OtherExpense, with cash flow classification None		Y
90430	Communications		$7,263.09	Other Expense		GST	N												
90440	Internet		$27,096.68	Other Expense		GST	N						N			N	Derived from QuickBooks account Internet , of type OtherExpense, with cash flow classification None		
90460	Postage		$2,981.13	Other Expense		GST	N						N			N	Derived from QuickBooks account Postage , of type OtherExpense, with cash flow classification None		
90480	Telephone & Fax		$27,022.72	Other Expense		GST	N						N			N	Derived from QuickBooks account Telephone & Fax , of type OtherExpense, with cash flow classification None		
90500	Equipment Maintenance	H	$85,606.53	Other Expense			N						N			N	Derived from QuickBooks account Equipment Maintenance , of type OtherExpense, with cash flow classification None		Y
90520	Equipment Maintenance		$0.00	Other Expense		N-T	Y						N			N	Derived from QuickBooks account Equipment Maintenance , of type OtherExpense, with cash flow classification None		
90540	Computers and software		$70,696.12	Other Expense		GST	N						N			N	Derived from QuickBooks account Computers and software , of type OtherExpense, with cash flow classification None		
90560	Fax Machines		$0.00	Other Expense		GST	N						N			N	Derived from QuickBooks account Fax Machines , of type OtherExpense, with cash flow classification None		
90580	Photocopiers		$12,486.50	Other Expense		GST	N						N			N	Derived from QuickBooks account Photocopiers , of type OtherExpense, with cash flow classification None		
90600	Telephones		$2,423.91	Other Expense		GST	N						N			N	Derived from QuickBooks account Telephones , of type OtherExpense, with cash flow classification None		
90620	General Expenses	H	$60,256.49	Other Expense			N						N			N	Derived from QuickBooks account General Expenses , of type OtherExpense, with cash flow classification None		Y
90640	General Expenses		$1,501.46	Other Expense		GST	N						N			N	Derived from QuickBooks account General Expenses , of type OtherExpense, with cash flow classification None		
90660	Advertising & Promotional		$14,206.01	Other Expense		GST	N						N			N	Derived from QuickBooks account Advertising & Promotional , of type OtherExpense, with cash flow classification None		
90680	Assets Purchased <$1000		$30,337.44	Other Expense		GST	N						N			N	Derived from QuickBooks account Assets Purchased <$1000 , of type OtherExpense, with cash flow classification None		
90700	Courier & Freight		$259.21	Other Expense		GST	N						N			N	Derived from QuickBooks account Courier & Freight , of type OtherExpense, with cash flow classification None		
90740	Doubtful Debts		$0.00	Other Expense		N-T	N						N			N	Derived from QuickBooks account Doubtful Debts , of type OtherExpense, with cash flow classification None		
90760	General Expenses - Other		$0.00	Other Expense		N-T	Y						N			N	Derived from QuickBooks account General Expenses - Other , of type OtherExpense, with cash flow classification None		
90780	Hospitality		$13,952.37	Other Expense		GST	N						N			N	Derived from QuickBooks account Hospitality , of type OtherExpense, with cash flow classification None		
90800	Loss on Disposal of Assets		$0.00	Other Expense		FRE	N						N			N	Derived from QuickBooks account Loss on Disposal of Assets , of type OtherExpense, with cash flow classification None		
90820	General Expenses-Other		$0.00	Other Expense		GST	N						N			N	Derived from QuickBooks account Other , of type OtherExpense, with cash flow classification None		
90860	Theft, Pilferage & Losses		$0.00	Other Expense		FRE	N						N			N	Derived from QuickBooks account Theft, Pilferage & Losses , of type OtherExpense, with cash flow classification None		
